2026-05-12 16:05:58 | INFO     | my_app.app.bootstrap | bootstrap.py:25 | Application bootstrap started.
2026-05-12 16:05:58 | INFO     | my_app.utils.font_manager | font_manager.py:49 | Loaded font family: Google Sans
2026-05-12 16:05:58 | INFO     | my_app.utils.font_manager | font_manager.py:49 | Loaded font family: Google Sans 17pt
2026-05-12 16:05:58 | INFO     | my_app.utils.font_manager | font_manager.py:55 | Loaded 18 font file(s).
2026-05-12 16:05:58 | DEBUG    | my_app.app.bootstrap | bootstrap.py:55 | Loading services with config: AppConfig(app_name='FreeCut AI', app_version='1.0.0', debug=True, theme_path=PosixPath('/Users/piseth/developer/desktop-app/freecut-ai/assets/styles/theme.qss'), fonts_path=PosixPath('/Users/piseth/developer/desktop-app/freecut-ai/assets/fonts'), log_level='DEBUG')
2026-05-12 16:05:59 | INFO     | my_app.app.bootstrap | bootstrap.py:40 | Application bootstrap finished.
2026-05-12 16:05:59 | INFO     | my_app.app.application | application.py:49 | Opening main window.
2026-05-12 16:13:45 | INFO     | my_app.app.bootstrap | bootstrap.py:25 | Application bootstrap started.
2026-05-12 16:13:45 | INFO     | my_app.utils.font_manager | font_manager.py:49 | Loaded font family: Google Sans
2026-05-12 16:13:45 | INFO     | my_app.utils.font_manager | font_manager.py:49 | Loaded font family: Google Sans 17pt
2026-05-12 16:13:45 | INFO     | my_app.utils.font_manager | font_manager.py:55 | Loaded 18 font file(s).
2026-05-12 16:13:45 | DEBUG    | my_app.app.bootstrap | bootstrap.py:55 | Loading services with config: AppConfig(app_name='FreeCut AI', app_version='1.0.0', debug=True, theme_path=PosixPath('/Users/piseth/developer/desktop-app/freecut-ai/assets/styles/theme.qss'), fonts_path=PosixPath('/Users/piseth/developer/desktop-app/freecut-ai/assets/fonts'), log_level='DEBUG')
2026-05-12 16:13:46 | INFO     | my_app.app.bootstrap | bootstrap.py:40 | Application bootstrap finished.
2026-05-12 16:13:46 | INFO     | my_app.app.application | application.py:61 | Opening main window.
2026-05-12 16:13:46 | INFO     | my_app.app.application | application.py:56 | Theme loaded: /Users/piseth/developer/desktop-app/freecut-ai/assets/styles/theme.qss
2026-05-12 16:13:46 | INFO     | my_app.ui.windows.main_window | main_window.py:16 | MainWindow initialized.
